miRNA_ID	TCGA-W5-AA34-11A	TCGA-W5-AA2O-01A	TCGA-ZU-A8S4-11A	TCGA-W5-AA2T-01A	TCGA-W5-AA30-01A	TCGA-W5-AA2R-01A	TCGA-W5-AA34-01A	TCGA-ZU-A8S4-01A	TCGA-ZH-A8Y5-01A	TCGA-W5-AA2U-11A	TCGA-W5-AA2H-01A	TCGA-W5-AA2U-01A	TCGA-W5-AA31-01A	TCGA-W5-AA36-01A	TCGA-W5-AA33-01A	TCGA-W5-AA30-11A	TCGA-ZH-A8Y1-01A	TCGA-YR-A95A-01A	TCGA-W5-AA2I-11A	TCGA-W5-AA2R-11A	TCGA-W5-AA2Q-11A	TCGA-W6-AA0S-01A	TCGA-W5-AA2Q-01A	TCGA-ZH-A8Y4-01A	TCGA-WD-A7RX-01A	TCGA-3X-AAVE-01A	TCGA-4G-AAZT-01A	TCGA-ZH-A8Y8-01A	TCGA-W5-AA38-01A	TCGA-3X-AAVA-01A	TCGA-W5-AA2X-01A	TCGA-3X-AAVC-01A	TCGA-W5-AA2Z-01A	TCGA-4G-AAZO-01A	TCGA-ZH-A8Y2-01A	TCGA-W5-AA2X-11A	TCGA-W5-AA2I-01A	TCGA-ZH-A8Y6-01A	TCGA-W5-AA31-11A	TCGA-3X-AAV9-01A	TCGA-3X-AAVB-01A	TCGA-W5-AA2W-01A	TCGA-W5-AA39-01A	TCGA-ZD-A8I3-01A	TCGA-W5-AA2G-01A
hsa-mir-29b-2	8.524155522546211	10.254790805418375	8.219709047372247	6.741368852834608	9.255248954757793	9.460339718332202	8.035690968200466	9.037366832331882	8.543560171472485	9.326046717669675	10.54111659121216	8.961185215618684	8.072615028265464	8.888306983792534	8.934089627396022	9.184633976198883	8.042945090027873	8.696388941664992	8.303316573127809	8.546510119484982	8.73038207830156	9.261307210272054	8.311978047317016	8.800311121399806	9.66906680200987	9.47288223491804	9.204390434155426	8.11916819109193	9.695578637637626	9.059745479714413	8.376150374062885	9.22180767000361	7.439740933451919	9.166241505869019	8.151415850036008	9.487568003901826	7.697362589807574	8.83782408221409	8.08923830525792	8.12504339047085	8.597782610899728	9.516488426088879	8.602502270275743	8.168677387531774	9.352045189701528
hsa-mir-29c	10.971342965880098	9.536005644596527	11.443625544872233	9.423566215000468	10.631864898051402	11.694051172219948	10.534804376474016	10.057500945686492	11.356574578683745	11.82462099662852	13.469117505303945	10.328643820423311	9.248675743535264	8.562764100780738	11.857447704937316	11.562364373074729	10.616883208874745	9.565363729991828	10.801327101636675	11.278949855929449	11.975298961793309	9.413014352788537	11.51439603746724	9.564842491791493	10.846441032522412	10.57681038926456	11.127670142955472	10.44560977796696	10.43654067674761	9.475055521146272	10.341986555320794	10.345039577543696	9.468100694629722	9.965965514728532	9.938580541401482	11.695700260101278	9.008435146399032	11.131831076087353	10.8718346709013	11.22968954850988	10.242206354638297	10.881647896923434	11.1750757480521	9.883371666276368	9.287537218813657
hsa-mir-300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-mir-301a	2.1458407883710695	3.9185238182461246	2.2398846628346805	3.572575514651512	3.831816857467035	3.0169353729386224	3.2623969244226174	2.975811382974328	3.1646644933259718	2.1296186724214494	3.9118020085223173	3.4252833883719127	3.0158791380319	3.0597934193131846	3.7355136207465214	2.8277749303063158	3.462167651239968	2.3547559577969994	1.8823871561452183	1.7690942327547672	2.345624599529243	3.630402675558992	2.6244998329842284	2.9276205901307053	3.4920948076492766	3.2221601802679274	2.9078449592745987	2.329449708996325	3.332616285585632	2.9664256681592343	3.6941529803721385	4.564103505968954	3.156733303236435	2.6102344415029033	3.2985050943879695	2.791285229117735	3.9094607263691827	3.933758250564519	2.7047971724987194	2.0634711888601234	2.9518494180850734	2.215106063866448	3.8048446140109395	3.1080183793305656	3.834685229263879
hsa-mir-301b	0.6985012098547017	1.2703160357142413	0.949271955701902	1.7504058426557485	2.3371056325206636	0.3480782817631547	0.32517454284795594	0.8180316563396317	0.7346008111784106	0.0	1.3817518261926147	0.9150994077926508	0.8207540873019991	0.9687911878835912	1.2214954045099853	0.49226545581492226	0.9556535338750974	0.23746092722292428	0.620463482905715	0.6799642008062254	0.4383205340228314	1.024962861467094	0.3470215433540837	0.7043275320185303	1.189973800926874	0.0	0.3813453987499006	0.4644842593801026	1.2190631708302568	0.48639516879080397	1.9298777082792546	3.5326367607718048	0.0	0.35163059037850386	0.7161858324991095	0.31819418896405455	1.2331051611917514	0.2990734704958778	0.9042150908830842	0.4663285015082636	1.0342445971272693	0.19626206529448384	1.5685229754849468	0.6942098244601866	0.7488021153068694
hsa-mir-302a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.620463482905715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-mir-302b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22154799155810873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2012825535205064	0.0	0.0	0.0	0.0
hsa-mir-302c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-mir-302d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-mir-302e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-mir-302f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-mir-3064	0.39111770100463283	0.770678532852602	0.6965271554576169	0.5983928392440507	0.0	0.3480782817631547	0.32517454284795594	0.8180316563396317	0.5829923582888756	0.0	1.140375560860254	0.2352859136596476	0.0	0.3995178459486956	0.7363381739513863	0.49226545581492226	0.3930350194155768	0.44130605330339123	0.620463482905715	0.263875732577862	0.4383205340228314	0.0	0.0	0.39472594850145915	0.7143492780580679	0.30034633647576053	0.20323624423836203	0.0	0.5287233314138876	0.2635993507636471	0.7677030991129785	0.0	0.5607980904373474	0.8702700164929953	0.7161858324991095	0.5787339445212352	0.501420800840402	0.2990734704958778	0.0	0.3269894137897192	0.6770616649586954	0.6625746729472384	0.4784044490880993	0.0	0.42244723575564075
